arm	scale	seed	steps	aspect0	aspect_max	aspect_final	curled	n_enc_max	wall_s
off	0.0	708	300000	0.0024	0.0509	0.0475	0	0	8364.8
off	0.0	702	300000	0.0024	0.0131	0.0091	0	0	8408.5
off	0.0	710	300000	0.0024	0.0458	0.0458	0	0	8416.1
off	0.0	704	300000	0.0024	0.0358	0.0175	0	0	8416.2
off	0.0	707	300000	0.0024	0.0127	0.0059	0	0	8432.7
off	0.0	709	300000	0.0024	0.0415	0.0409	0	0	8435.7
off	0.0	705	300000	0.0024	0.0416	0.0161	0	0	8459.5
off	0.0	703	300000	0.0024	0.0141	0.0074	0	0	8474.1
off	0.0	701	300000	0.0024	0.0607	0.0574	0	0	8491.6
off	0.0	700	300000	0.0024	0.0224	0.0209	0	0	8499.1
off	0.0	706	300000	0.0024	0.0371	0.0269	0	0	8513.2
off	0.0	711	300000	0.0024	0.0198	0.0119	0	0	8523.5
mlp	1.0	711	300000	0.0024	0.0447	0.0338	0	0	9609.6
mlp	1.0	706	300000	0.0024	0.0424	0.0424	0	0	9612.0
mlp	1.0	708	300000	0.0024	0.0195	0.0148	0	1	9618.1
mlp	1.0	705	300000	0.0024	0.0383	0.0079	0	0	9627.4
mlp	1.0	702	300000	0.0024	0.0477	0.0201	0	0	9630.8
mlp	1.0	709	300000	0.0024	0.0374	0.0266	0	0	9632.1
mlp	1.0	703	300000	0.0024	0.0418	0.0204	0	0	9633.7
mlp	1.0	707	300000	0.0024	0.0161	0.0088	0	0	9637.3
mlp	1.0	701	300000	0.0024	0.0546	0.0507	0	0	9638.1
mlp	1.0	704	300000	0.0024	0.042	0.0217	0	0	9643.8
mlp	1.0	700	300000	0.0024	0.0083	0.0068	0	0	9656.6
mlp	1.0	710	300000	0.0024	0.0603	0.0517	0	0	9656.8
