arm	seed	steps	vesicle_ckpts	first_vesicle	enc_ckpts	largest_max	largest_final	wall_s
6B	211	1000000	0	-1	0	52	52	1952.8
6B	218	1000000	0	-1	0	55	55	2058.7
6B	214	1000000	0	-1	0	73	73	2070.4
6B	205	1000000	0	-1	0	73	73	2084.3
6B	206	1000000	0	-1	0	106	106	2099.2
6B	216	1000000	0	-1	0	76	76	2132.9
6B	208	1000000	0	-1	0	101	101	2133.3
6B	219	1000000	0	-1	0	65	65	2141.9
6B	200	1000000	0	-1	0	47	47	2142.4
6B	207	1000000	0	-1	0	142	142	2148.0
6B	203	1000000	0	-1	0	93	93	2151.6
6B	209	1000000	0	-1	0	78	78	2153.6
6B	213	1000000	0	-1	0	74	74	2157.0
6B	215	1000000	0	-1	0	77	77	2161.2
6B	201	1000000	0	-1	0	67	67	2164.4
6B	204	1000000	0	-1	0	67	67	2169.3
6B	212	1000000	0	-1	0	116	116	2176.6
6B	202	1000000	0	-1	0	107	107	2179.3
6B	217	1000000	0	-1	0	60	60	2180.9
6B	210	1000000	0	-1	0	78	78	2187.2
