mode	L	sigma_head	seed	steps	largest_max	nves_max	debounced	formed	wall_s
screen	28.0	1.0	1	100000	45	0	0	0	963.9
screen	28.0	1.0	2	100000	47	0	0	0	1260.5
screen	28.0	1.0	3	100000	48	0	0	0	994.1
screen	28.0	0.9	1	100000	61	0	0	0	1135.3
screen	28.0	0.9	2	100000	63	0	0	0	1186.2
screen	28.0	0.9	3	100000	38	0	0	0	1095.5
screen	28.0	0.75	1	100000	39	0	0	0	1265.7
screen	28.0	0.75	2	100000	51	0	0	0	1247.1
screen	28.0	0.75	3	100000	62	0	0	0	1229.5
screen	28.0	0.6	1	100000	58	0	0	0	1334.1
screen	28.0	0.6	2	100000	70	0	0	0	1424.2
screen	28.0	0.6	3	100000	78	0	0	0	1432.8
