mode	sigma_head	seed	steps	largest_max	nves_max	debounced	formed	wall_s
screen	22.0	1.0	1	100000	52	0	0	0	607.9
screen	22.0	1.0	2	100000	36	0	0	0	518.9
screen	22.0	1.0	3	100000	27	0	0	0	470.4
screen	22.0	1.2	1	100000	56	0	0	0	593.0
screen	22.0	1.2	2	100000	37	0	0	0	593.1
screen	22.0	1.2	3	100000	25	0	0	0	501.0
screen	22.0	1.4	1	100000	72	0	0	0	543.7
screen	22.0	1.4	2	100000	32	0	0	0	418.3
screen	22.0	1.4	3	100000	26	0	0	0	442.5
screen	22.0	1.6	1	100000	55	0	0	0	500.4
screen	22.0	1.6	2	100000	38	0	0	0	412.2
screen	22.0	1.6	3	100000	27	0	0	0	446.8
screen	22.0	1.8	1	100000	31	0	0	0	444.7
screen	22.0	1.8	2	100000	39	0	0	0	402.4
screen	22.0	1.8	3	100000	40	0	0	0	419.9
