chi_ht	seed	steps	largest_max	nenc_ckpts	vesicle_calls	wall_s
-0.25	12	1000000	145	0	0	11582.1
-0.25	18	1000000	78	1	0	11607.9
-0.25	11	1000000	116	1	0	11615.3
-0.25	9	1000000	160	1	0	11618.8
-0.25	15	1000000	107	0	0	11627.6
-0.25	14	1000000	87	0	0	11632.0
-0.25	8	1000000	135	0	0	11634.3
-0.25	10	1000000	123	0	0	11635.3
-0.25	13	1000000	104	1	0	11654.4
-0.25	16	1000000	73	0	0	11667.3
-0.25	7	1000000	84	0	0	11675.0
-0.25	17	1000000	129	0	0	11679.2
0.0	7	1000000	134	0	0	11881.4
0.0	8	1000000	122	1	0	11921.9
0.0	10	1000000	69	0	0	11928.3
0.0	11	1000000	92	0	0	11943.4
0.0	16	1000000	145	2	0	11918.0
0.0	17	1000000	101	1	0	11914.9
0.0	15	1000000	48	3	0	11936.3
0.0	13	1000000	138	0	0	11965.7
0.0	9	1000000	136	0	0	11986.0
0.0	12	1000000	154	0	0	11983.6
0.0	18	1000000	118	0	0	11950.1
0.0	14	1000000	153	0	0	12020.2
