rc	w_c	kT	seed	steps	frac_largest	msd_per_1k	core_frac	hollow	phase	wall_s
1.6	0.6	0.8	1	20000	0.785	3.8133	0.3717	0	breakup	129.2
1.6	0.6	0.8	2	20000	0.855	3.5015	0.415	0	breakup	129.4
1.6	0.6	0.8	3	20000	0.79	3.529	0.4217	0	breakup	130.5
1.6	0.6	0.6	1	20000	0.96	1.3753	0.7683	0	fluid	142.6
1.6	0.6	0.3	2	20000	0.89	0.2582	0.9067	0	breakup	143.4
1.6	0.6	0.6	2	20000	0.875	1.0482	0.705	0	breakup	144.9
1.6	0.6	0.3	1	20000	1.0	0.2382	0.3733	0	fluid	145.0
1.6	0.6	0.3	3	20000	1.0	0.2408	0.2667	0	fluid	145.6
1.6	0.6	0.45	2	20000	1.0	0.8059	0.6133	0	fluid	145.6
1.6	0.6	0.6	3	20000	0.98	0.9174	0.8417	0	fluid	146.0
1.6	0.6	0.45	1	20000	0.835	0.5227	0.44	0	breakup	146.9
1.6	0.6	0.45	3	20000	1.0	0.582	0.2867	0	fluid	148.5
1.6	0.6	1.0	2	20000	0.805	5.8744	0.22	0	breakup	114.3
1.6	0.6	1.0	1	20000	0.325	5.9295	0.2767	0	breakup	114.8
1.6	0.6	1.0	3	20000	0.795	5.9689	0.295	0	breakup	115.3
1.6	0.6	1.3	1	20000	0.575	5.9535	0.3117	0	breakup	113.3
1.6	0.6	1.3	2	20000	0.75	5.8942	0.19	0	breakup	113.4
1.6	0.6	1.3	3	20000	0.285	5.9945	0.285	0	breakup	112.4
2.0	1.0	0.3	1	20000	0.99	0.1599	0.855	0	fluid	178.5
2.0	1.0	0.3	2	20000	0.885	0.1448	0.7367	0	breakup	180.3
2.0	1.0	0.45	1	20000	0.85	0.4018	0.6733	0	breakup	182.1
2.0	1.0	0.45	2	20000	0.9	0.3193	0.8267	0	fluid	183.6
2.0	1.0	0.3	3	20000	1.0	0.2181	0.335	0	fluid	185.7
2.0	1.0	0.45	3	20000	1.0	0.3489	0.345	0	fluid	190.1
2.0	1.0	0.6	1	20000	0.88	0.6179	0.66	0	breakup	176.0
2.0	1.0	0.6	2	20000	0.88	0.6373	0.8467	0	breakup	176.0
2.0	1.0	0.6	3	20000	1.0	0.6401	0.3817	0	fluid	183.3
2.0	1.0	0.8	1	20000	0.89	0.856	0.7133	0	breakup	173.6
2.0	1.0	0.8	2	20000	0.99	0.8916	0.7817	0	fluid	178.8
2.0	1.0	0.8	3	20000	1.0	0.9856	0.55	0	fluid	179.2
2.0	1.0	1.3	1	20000	0.73	2.9826	0.5817	0	breakup	139.7
2.0	1.0	1.3	2	20000	0.89	3.1561	0.5783	0	breakup	139.3
2.0	1.0	1.3	3	20000	0.9	3.0908	0.7017	0	fluid	141.5
2.0	1.0	1.0	1	20000	0.98	1.6437	0.745	0	fluid	163.3
2.0	1.0	1.0	2	20000	0.98	1.3748	0.7317	0	fluid	161.5
2.0	1.0	1.0	3	20000	0.985	1.5353	0.5417	0	fluid	162.2
2.4	1.4	0.3	2	20000	1.0	0.0367	0.36	0	gel	338.3
2.4	1.4	0.3	1	20000	1.0	0.0755	0.3967	0	gel	339.8
2.4	1.4	0.3	3	20000	1.0	0.0887	0.37	0	gel	339.0
2.4	1.4	0.45	1	20000	1.0	0.1672	0.365	0	fluid	342.6
2.4	1.4	0.45	2	20000	1.0	0.1213	0.3867	0	gel	340.9
2.4	1.4	0.45	3	20000	1.0	0.2095	0.3817	0	fluid	340.8
2.4	1.4	0.6	2	20000	1.0	0.3415	0.3933	0	fluid	336.6
2.4	1.4	0.6	1	20000	1.0	0.3119	0.3883	0	fluid	341.6
2.4	1.4	0.6	3	20000	1.0	0.2749	0.4267	0	fluid	338.3
2.4	1.4	0.8	1	20000	1.0	0.5888	0.41	0	fluid	339.3
2.4	1.4	0.8	2	20000	1.0	0.5695	0.43	0	fluid	339.1
2.4	1.4	0.8	3	20000	0.995	0.6281	0.93	0	fluid	337.8
2.4	1.4	1.0	2	20000	1.0	0.8103	0.4017	0	fluid	314.7
2.4	1.4	1.0	1	20000	0.995	0.8315	0.9883	0	fluid	315.9
2.4	1.4	1.3	1	20000	0.995	0.9995	0.8333	0	fluid	313.9
2.4	1.4	1.3	2	20000	0.99	1.1045	0.99	0	fluid	310.6
2.4	1.4	1.0	3	20000	1.0	0.8081	0.445	0	fluid	319.1
2.4	1.4	1.3	3	20000	0.995	1.1599	0.9633	0	fluid	318.1
2.8	1.8	0.3	1	20000	1.0	0.0629	0.3967	0	gel	450.9
2.8	1.8	0.3	2	20000	1.0	0.0502	0.3817	0	gel	451.5
2.8	1.8	0.3	3	20000	1.0	0.0701	0.3833	0	gel	448.7
2.8	1.8	0.45	3	20000	1.0	0.2094	0.3967	0	fluid	453.4
2.8	1.8	0.45	1	20000	1.0	0.184	0.4067	0	fluid	456.7
2.8	1.8	0.45	2	20000	1.0	0.0796	0.39	0	gel	456.4
2.8	1.8	0.6	2	20000	1.0	0.2192	0.4317	0	fluid	481.4
2.8	1.8	0.6	1	20000	1.0	0.2712	0.4267	0	fluid	482.8
2.8	1.8	0.6	3	20000	1.0	0.2598	0.4167	0	fluid	486.5
2.8	1.8	0.8	2	20000	1.0	0.4611	0.44	0	fluid	487.6
2.8	1.8	0.8	1	20000	1.0	0.4815	0.4267	0	fluid	488.8
2.8	1.8	0.8	3	20000	1.0	0.4644	0.4467	0	fluid	486.3
2.8	1.8	1.0	1	20000	1.0	0.7189	0.4483	0	fluid	443.0
2.8	1.8	1.0	2	20000	1.0	0.6407	0.4417	0	fluid	443.6
2.8	1.8	1.0	3	20000	1.0	0.6976	0.4283	0	fluid	440.0
2.8	1.8	1.3	2	20000	1.0	0.9215	0.445	0	fluid	437.0
2.8	1.8	1.3	1	20000	1.0	0.8958	0.4417	0	fluid	439.2
2.8	1.8	1.3	3	20000	1.0	0.9032	0.4333	0	fluid	437.9
