rc	w_c	kT	seed	steps	frac_largest	msd_per_1k	phase	wall_s
1.6	0.6	0.8	2	20000	0.855	3.5015	breakup	148.7
1.6	0.6	0.8	1	20000	0.785	3.8133	breakup	148.9
1.6	0.6	0.8	3	20000	0.79	3.529	breakup	150.1
1.6	0.6	0.6	1	20000	0.96	1.3753	fluid	163.7
1.6	0.6	0.3	2	20000	0.89	0.2582	breakup	163.7
1.6	0.6	0.6	2	20000	0.875	1.0482	breakup	165.9
1.6	0.6	0.3	1	20000	1.0	0.2382	fluid	166.2
1.6	0.6	0.3	3	20000	1.0	0.2408	fluid	166.8
1.6	0.6	0.45	2	20000	1.0	0.8059	fluid	166.8
1.6	0.6	0.6	3	20000	0.98	0.9174	fluid	167.7
1.6	0.6	0.45	1	20000	0.835	0.5227	breakup	168.0
1.6	0.6	0.45	3	20000	1.0	0.582	fluid	169.9
1.6	0.6	1.0	2	20000	0.805	5.8744	breakup	131.4
1.6	0.6	1.0	1	20000	0.325	5.9295	breakup	132.2
1.6	0.6	1.0	3	20000	0.795	5.9689	breakup	133.0
1.6	0.6	1.3	2	20000	0.75	5.8942	breakup	130.1
1.6	0.6	1.3	1	20000	0.575	5.9535	breakup	130.3
1.6	0.6	1.3	3	20000	0.285	5.9945	breakup	129.3
2.0	1.0	0.3	1	20000	0.99	0.1599	fluid	201.0
2.0	1.0	0.3	2	20000	0.885	0.1448	breakup	203.0
2.0	1.0	0.45	1	20000	0.85	0.4018	breakup	206.0
2.0	1.0	0.45	2	20000	0.9	0.3193	fluid	207.7
2.0	1.0	0.3	3	20000	1.0	0.2181	fluid	209.4
2.0	1.0	0.45	3	20000	1.0	0.3489	fluid	213.9
2.0	1.0	0.6	1	20000	0.88	0.6179	breakup	197.6
2.0	1.0	0.6	2	20000	0.88	0.6373	breakup	197.1
2.0	1.0	0.6	3	20000	1.0	0.6401	fluid	204.6
2.0	1.0	0.8	1	20000	0.89	0.856	breakup	195.4
2.0	1.0	0.8	2	20000	0.99	0.8916	fluid	200.9
2.0	1.0	0.8	3	20000	1.0	0.9856	fluid	201.1
2.0	1.0	1.3	1	20000	0.73	2.9826	breakup	158.8
2.0	1.0	1.3	2	20000	0.89	3.1561	breakup	158.7
2.0	1.0	1.3	3	20000	0.9	3.0908	fluid	161.2
2.0	1.0	1.0	1	20000	0.98	1.6437	fluid	185.2
2.0	1.0	1.0	2	20000	0.98	1.3748	fluid	183.9
2.0	1.0	1.0	3	20000	0.985	1.5353	fluid	184.2
2.4	1.4	0.3	2	20000	1.0	0.0367	gel	350.1
2.4	1.4	0.3	1	20000	1.0	0.0755	gel	354.1
2.4	1.4	0.3	3	20000	1.0	0.0887	gel	353.2
2.4	1.4	0.45	1	20000	1.0	0.1672	fluid	356.1
2.4	1.4	0.45	3	20000	1.0	0.2095	fluid	351.5
2.4	1.4	0.45	2	20000	1.0	0.1213	gel	354.4
2.4	1.4	0.6	1	20000	1.0	0.3119	fluid	349.3
2.4	1.4	0.6	2	20000	1.0	0.3415	fluid	350.0
2.4	1.4	0.6	3	20000	1.0	0.2749	fluid	349.3
2.4	1.4	0.8	2	20000	1.0	0.5695	fluid	346.2
2.4	1.4	0.8	1	20000	1.0	0.5888	fluid	349.1
2.4	1.4	0.8	3	20000	0.995	0.6281	fluid	346.0
2.4	1.4	1.0	2	20000	1.0	0.8103	fluid	323.9
2.4	1.4	1.0	1	20000	0.995	0.8315	fluid	328.2
2.4	1.4	1.3	2	20000	0.99	1.1045	fluid	320.4
2.4	1.4	1.0	3	20000	1.0	0.8081	fluid	328.9
2.4	1.4	1.3	1	20000	0.995	0.9995	fluid	325.3
2.4	1.4	1.3	3	20000	0.995	1.1599	fluid	326.2
2.8	1.8	0.3	1	20000	1.0	0.0629	gel	448.4
2.8	1.8	0.3	2	20000	1.0	0.0502	gel	451.3
2.8	1.8	0.3	3	20000	1.0	0.0701	gel	451.0
2.8	1.8	0.45	1	20000	1.0	0.184	fluid	455.6
2.8	1.8	0.45	3	20000	1.0	0.2094	fluid	452.1
2.8	1.8	0.45	2	20000	1.0	0.0796	gel	454.6
2.8	1.8	0.6	1	20000	1.0	0.2712	fluid	445.5
2.8	1.8	0.6	2	20000	1.0	0.2192	fluid	445.5
2.8	1.8	0.6	3	20000	1.0	0.2598	fluid	440.6
2.8	1.8	0.8	2	20000	1.0	0.4611	fluid	446.6
2.8	1.8	0.8	1	20000	1.0	0.4815	fluid	448.7
2.8	1.8	0.8	3	20000	1.0	0.4644	fluid	444.2
2.8	1.8	1.0	1	20000	1.0	0.7189	fluid	407.6
2.8	1.8	1.0	2	20000	1.0	0.6407	fluid	405.6
2.8	1.8	1.0	3	20000	1.0	0.6976	fluid	403.1
2.8	1.8	1.3	2	20000	1.0	0.9215	fluid	403.1
2.8	1.8	1.3	3	20000	1.0	0.9032	fluid	403.7
2.8	1.8	1.3	1	20000	1.0	0.8958	fluid	404.9
