t_star	w_star	kT	seed	condensed	retention	phase	bond_mean
0.375	1.0	0.375	1	1.0	0.71	gel	1.012
0.375	1.0	0.375	2	1.0	0.712	gel	1.01
0.375	1.0	0.375	3	1.0	0.752	gel	1.01
0.375	1.5	0.375	1	1.0	0.814	gel	1.011
0.375	1.5	0.375	2	1.0	0.802	gel	1.01
0.375	1.5	0.375	3	1.0	0.805	gel	1.01
0.375	2.0	0.375	1	1.0	0.926	gel	1.015
0.375	2.0	0.375	2	1.0	0.869	gel	1.012
0.375	2.0	0.375	3	1.0	0.848	gel	1.011
0.45	1.0	0.45	1	1.0	0.562	fluid	1.01
0.45	1.0	0.45	2	1.0	0.569	fluid	1.011
0.45	1.0	0.45	3	1.0	0.545	fluid	1.011
0.45	1.5	0.45	1	1.0	0.757	gel	1.013
0.45	1.5	0.45	2	1.0	0.733	gel	1.013
0.45	1.5	0.45	3	1.0	0.838	gel	1.011
0.45	2.0	0.45	1	1.0	0.819	gel	1.012
0.45	2.0	0.45	2	1.0	0.812	gel	1.013
0.45	2.0	0.45	3	1.0	0.819	gel	1.007
0.643	1.0	0.643	1	0.729	0.314	fluid	1.018
0.643	1.0	0.643	2	0.9	0.274	fluid	1.013
0.643	1.0	0.643	3	0.714	0.25	fluid	1.014
0.643	1.5	0.643	1	1.0	0.481	fluid	1.013
0.643	1.5	0.643	2	0.986	0.417	fluid	1.011
0.643	1.5	0.643	3	1.0	0.431	fluid	1.012
0.643	2.0	0.643	1	1.0	0.61	fluid	1.012
0.643	2.0	0.643	2	1.0	0.662	fluid	1.011
0.643	2.0	0.643	3	1.0	0.607	fluid	1.006
0.9	1.0	0.9	1	0.171	0.114	gas	1.019
0.9	1.0	0.9	2	0.171	0.14	gas	1.022
0.9	1.0	0.9	3	0.186	0.16	gas	1.013
0.9	1.5	0.9	1	0.4	0.293	gas	1.016
0.9	1.5	0.9	2	0.843	0.183	fluid	1.017
0.9	1.5	0.9	3	0.914	0.245	fluid	1.021
0.9	2.0	0.9	1	1.0	0.321	fluid	1.016
0.9	2.0	0.9	2	1.0	0.417	fluid	1.012
0.9	2.0	0.9	3	1.0	0.276	fluid	1.017
1.1	1.0	1.1	1	0.2	0.112	gas	1.017
1.1	1.0	1.1	2	0.057	0.124	gas	1.015
1.1	1.0	1.1	3	0.057	0.09	gas	1.025
1.1	1.5	1.1	1	0.829	0.195	fluid	1.017
1.1	1.5	1.1	2	0.514	0.136	gas	1.019
1.1	1.5	1.1	3	0.757	0.176	fluid	1.014
1.1	2.0	1.1	1	1.0	0.26	fluid	1.021
1.1	2.0	1.1	2	0.986	0.162	fluid	1.016
1.1	2.0	1.1	3	1.0	0.219	fluid	1.015
1.4	1.0	1.4	1	0.071	0.095	gas	1.026
1.4	1.0	1.4	2	0.086	0.074	gas	1.03
1.4	1.0	1.4	3	0.114	0.064	gas	1.024
1.4	1.5	1.4	1	0.186	0.121	gas	1.018
1.4	1.5	1.4	2	0.2	0.076	gas	1.022
1.4	1.5	1.4	3	0.271	0.088	gas	1.022
1.4	2.0	1.4	1	1.0	0.157	fluid	1.014
1.4	2.0	1.4	2	0.971	0.145	fluid	1.02
1.4	2.0	1.4	3	0.929	0.155	fluid	1.011
1.8	1.0	1.8	1	0.086	0.081	gas	1.024
1.8	1.0	1.8	2	0.071	0.095	gas	1.029
1.8	1.0	1.8	3	0.1	0.107	gas	1.029
1.8	1.5	1.8	1	0.114	0.074	gas	1.022
1.8	1.5	1.8	2	0.114	0.11	gas	1.027
1.8	1.5	1.8	3	0.186	0.086	gas	1.025
1.8	2.0	1.8	1	0.257	0.1	gas	1.019
1.8	2.0	1.8	2	0.314	0.131	gas	1.031
1.8	2.0	1.8	3	0.7	0.114	fluid	1.025
