commit	emergence	demix	occ	status	description
e5b66b2	-0.015059	0.5317	63	keep	baseline v2 (conservative + valid PBC + stiffness)
0d509b0	0.008785	0.2707	64	keep	aniso=0.60 excluded volume (emergence -0.015 -> +0.009)
ca75099	0.034223	0.3296	64	keep	aniso 0.60 -> 0.95 (emergence 0.009 -> 0.034)
3389368	-0.014576	0.4914	64	discard	steric shape from l>=2 only (emergence 0.034 -> -0.015; the head bulge helps ordering)
43f6169	0.009252	0.3296	64	discard	amphi amplitude 2.0 -> 3.2 (emergence 0.034 -> 0.009)
5cc5e4c	0.010404	0.3296	64	discard	tail splay stiffness 0.10 -> 0.03 (emergence 0.034 -> 0.010)
5223cda	-0.004295	0.3296	62	discard	amphiphile radius 0.85 -> 0.55 (emergence 0.034 -> -0.004)
n/a	-	-	-	discard	range 1->3 sigma (satt 1.0->0.11)
n/a	-	-	-	discard	head charge 2.0->1.0 (flips lateral sign)
n/a	-0.003512	0.1623	-	discard	vdW linear regime + cohesive water
n/a	-0.003512	0.1623	-	discard	orientation-dependent dispersion
