MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    10.34       10   3.21    0.416   1.895  1.032  0.006   1.500  1.063        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -5.94       23   5.30    0.424   1.689  0.844  0.329   2.826  1.440        0     0     n   1.47       4      1.00     1.00   +0.000     0     nan
   40000    -6.10       42   7.77    0.344   0.796  0.818  0.350   3.006  1.441        0     0     n   0.83      19      1.00     1.00   +0.000     0     nan
   60000    -6.39       42   7.91    0.399   1.202  0.823  0.141   3.310  1.433        0     0     n   0.93      23      1.00     1.00   +0.000     0     nan
   80000    -6.48       42   7.91    0.403   1.476  0.823  0.384   3.607  1.426        0     0     n   0.82      20      1.00     1.00   +0.000     0     nan
  100000    -6.33       42   7.79    0.381   1.149  0.811  0.252   3.375  1.434        0     0     n   1.00      23      1.00     1.00   +0.000     0     nan
  120000    -6.47       56  11.95      nan     nan    nan    nan   3.911  1.407        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  140000    -6.66       51  12.22      nan     nan    nan    nan   3.863  1.397        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  160000    -6.65       51  11.39      nan     nan    nan    nan   3.917  1.415        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  180000    -6.50       44   8.26    0.393   1.238  0.795  0.162   3.477  1.434        0     0     n   0.93      27      1.00     1.00   +0.000     0     nan
  200000    -6.65       51  11.61    0.423   1.878  0.848  0.024   3.863  1.405        0     0     n   0.75      70      1.00     1.00   +0.000     0     nan
  220000    -6.57       60  11.41    0.404   1.661  0.830  0.104   4.138  1.414        0     0     n   0.96      85      1.00     1.00   +0.000     0     nan
  240000    -6.59       60  11.28    0.415   1.870  0.842  0.079   3.692  1.404        0     0     n   0.71      60      1.00     1.00   +0.000     0     nan
  260000    -6.74       60  11.48    0.368   1.383  0.861  0.439   4.233  1.419        0     0     n   0.92      83      1.00     1.00   +0.000     0     nan
  280000    -6.47       60  11.35    0.374   1.540  0.850  0.437   3.496  1.402        0     0     n   0.83      72      1.00     1.00   +0.000     0     nan
  300000    -6.46       60  10.76    0.351   1.084  0.856  0.169   3.592  1.420        0     0     n   0.86      63      1.00     1.00   +0.000     0     nan
  320000    -6.58       60  10.79    0.360   1.268  0.864  0.253   3.533  1.419        0     0     n   0.81      60      1.00     1.00   +0.000     0     nan
  340000    -6.74       60  10.85    0.370   1.383  0.847  0.285   3.738  1.411        0     0     n   0.85      64      1.00     1.00   +0.000     0     nan
  360000    -6.74       60  10.82    0.377   1.421  0.800  0.275   3.483  1.427        0     0     n   0.91      68      1.00     1.00   +0.000     0     nan
  380000    -6.60       60  11.00    0.371   1.383  0.823  0.201   3.642  1.425        0     0     n   0.69      54      1.00     1.00   +0.000     0     nan
  400000    -6.87       60  10.78      nan     nan    nan    nan   4.108  1.403        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -6.55       60  10.72    0.420   1.702  0.851  0.224   3.742  1.396        0     0     n   0.83      60      1.00     1.00   +0.000     0     nan
