MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     5.14        7   3.73    0.468   2.154  1.000  0.098   1.036  1.352        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -5.95       16   4.24    0.422   1.806  0.840  0.324   3.234  1.396        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -5.96       19   5.17    0.440   1.863  0.811 -0.005   3.684  1.429        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.38       19   5.48    0.430   1.863  0.863 -0.138   3.289  1.405        0     0     n   0.28       1      1.00     1.00   +0.000     0     nan
   80000    -6.76       19   5.32    0.500   3.429  0.888 -0.174   3.882  1.415        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  100000    -6.72       22   6.74    0.470   2.532  0.885 -0.008   3.659  1.451        0     0     n   0.50       6      1.00     1.00   +0.000     0     nan
  120000    -6.76       22   5.86    0.553   4.235  0.806 -0.289   4.023  1.486        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  140000    -6.69       30   8.35    0.550   3.958  0.789 -0.319   3.933  1.441        0     0     n   0.49      15      1.00     1.00   +0.000     0     nan
  160000    -6.85       35   9.58    0.529   3.254  0.843  0.007   3.686  1.417        0     0     n   0.66      33      1.00     1.00   +0.000     0     nan
  180000    -6.66       49  12.04      nan     nan    nan    nan   3.352  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  200000    -6.89       44   9.70      nan     nan    nan    nan   3.920  1.450        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  220000    -7.02       44   9.27      nan     nan    nan    nan   3.864  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  240000    -6.71       49  12.15      nan     nan    nan    nan   2.964  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  260000    -6.90       49  11.44      nan     nan    nan    nan   3.673  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  280000    -6.75       63  14.64      nan     nan    nan    nan   3.536  1.415        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  300000    -7.00       63  15.47      nan     nan    nan    nan   3.929  1.417        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  320000    -7.11       63  15.24      nan     nan    nan    nan   3.500  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  340000    -6.93       63  14.47      nan     nan    nan    nan   3.683  1.448        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  360000    -7.08       63  13.88      nan     nan    nan    nan   3.929  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  380000    -6.98       63  12.91      nan     nan    nan    nan   3.544  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -6.77       63  12.47      nan     nan    nan    nan   3.183  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -6.84       63  12.45      nan     nan    nan    nan   3.337  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -6.84       70  13.76      nan     nan    nan    nan   3.436  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -6.79       77  14.65      nan     nan    nan    nan   3.630  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -7.05       77  13.52      nan     nan    nan    nan   3.925  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -6.92       77  14.24      nan     nan    nan    nan   3.662  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -6.95       77  14.34      nan     nan    nan    nan   3.666  1.418        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -7.16       65  12.30      nan     nan    nan    nan   3.858  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -6.83       74  13.94      nan     nan    nan    nan   3.740  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -7.00       77  14.29      nan     nan    nan    nan   3.383  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -7.05       77  13.34      nan     nan    nan    nan   3.782  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  620000    -7.01       77  13.51      nan     nan    nan    nan   3.740  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  640000    -7.09       77  13.25      nan     nan    nan    nan   3.890  1.452        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  660000    -7.23       77  12.71      nan     nan    nan    nan   3.821  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  680000    -6.97       77  13.15      nan     nan    nan    nan   3.558  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  700000    -6.73       77  13.27      nan     nan    nan    nan   3.792  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  720000    -6.95       77  14.82      nan     nan    nan    nan   3.782  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  740000    -7.01       77  15.39      nan     nan    nan    nan   3.844  1.414        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  760000    -6.97       77  15.96      nan     nan    nan    nan   3.721  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  780000    -7.28       77  15.90      nan     nan    nan    nan   3.695  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  800000    -6.80       77  16.36      nan     nan    nan    nan   3.666  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  820000    -6.97       79  15.57      nan     nan    nan    nan   3.902  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  840000    -6.93       79  16.57      nan     nan    nan    nan   3.687  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  860000    -6.76      115  21.46      nan     nan    nan    nan   3.585  1.412       53     1     n    nan       0      1.00     1.00   +0.000     0     nan
  880000    -6.78      154  25.44      nan     nan    nan    nan   3.644  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  900000    -6.97      156  25.24      nan     nan    nan    nan   3.436  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  920000    -6.96      156  25.55      nan     nan    nan    nan   3.644  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  940000    -6.77       93  17.78      nan     nan    nan    nan   3.406  1.422        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  960000    -7.23       93  17.60      nan     nan    nan    nan   3.328  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  980000    -7.02       93  17.64      nan     nan    nan    nan   3.371  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1000000    -6.93       93  17.81      nan     nan    nan    nan   3.642  1.427        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1020000    -6.93      156  24.03      nan     nan    nan    nan   3.606  1.410        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1040000    -6.89      156  23.89      nan     nan    nan    nan   3.513  1.425        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1060000    -7.05      156  24.65      nan     nan    nan    nan   3.487  1.429        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1080000    -6.96      156  24.38      nan     nan    nan    nan   3.466  1.433        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1100000    -6.86      155  23.77      nan     nan    nan    nan   3.527  1.440        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1120000    -6.79      156  25.17      nan     nan    nan    nan   3.513  1.418        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1140000    -6.94      156  23.49      nan     nan    nan    nan   3.458  1.427        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -6.87      156  24.49      nan     nan    nan    nan   3.349  1.428        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -7.02      156  23.90      nan     nan    nan    nan   3.514  1.425       51     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -7.20      156  23.57      nan     nan    nan    nan   3.668  1.431        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -7.08      155  24.13      nan     nan    nan    nan   3.434  1.425       46     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1240000    -7.23      156  23.85      nan     nan    nan    nan   3.620  1.409       40     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1260000    -7.00      156  22.93      nan     nan    nan    nan   3.428  1.431        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1280000    -7.04      113  17.62      nan     nan    nan    nan   3.447  1.426       84     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1300000    -7.02      156  21.73      nan     nan    nan    nan   3.335  1.436       58     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1320000    -6.98      156  21.56      nan     nan    nan    nan   3.692  1.419       46     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1340000    -7.19      156  20.96      nan     nan    nan    nan   3.579  1.419       43     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1360000    -7.14      156  22.86      nan     nan    nan    nan   3.168  1.431       40     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1380000    -7.18      156  23.44      nan     nan    nan    nan   3.588  1.436       71     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1400000    -7.14      156  23.83      nan     nan    nan    nan   3.696  1.420        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1420000    -7.03      156  24.83      nan     nan    nan    nan   3.535  1.432       51     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -6.76      156  25.22      nan     nan    nan    nan   3.473  1.424       40     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1460000    -6.91      156  25.03      nan     nan    nan    nan   3.240  1.422       85     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1480000    -6.88      156  24.15      nan     nan    nan    nan   3.569  1.427       86     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1500000    -6.94      152  23.86      nan     nan    nan    nan   3.630  1.436       51     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1520000    -7.03      160  25.22      nan     nan    nan    nan   3.667  1.427      102     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -7.15       93  16.41      nan     nan    nan    nan   3.535  1.413       78     1     Y    nan       0      1.00     1.00   +0.000     0     nan
 1560000    -7.03       93  16.00      nan     nan    nan    nan   3.250  1.409        0     0     Y    nan       0      1.00     1.00   +0.000     0     nan
 1580000    -7.17       93  16.59      nan     nan    nan    nan   3.454  1.428      115     1     n    nan       0      1.00     1.00   +0.000     0     nan
 1600000    -6.94       93  16.48      nan     nan    nan    nan   3.637  1.426       99     1     Y    nan       0      1.00     1.00   +0.000     0     nan
