MIXTURE 2-D: 0 short (2 tails) + 208 long (4 tails) + 4887 water, L=92.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     2.59        4   2.27    0.499   3.692  0.962  0.173   3.500  1.450        0     0     n   0.00       0      1.00      nan   +nan     0     nan
   20000    -5.88       13   3.77    0.456   2.167  0.843  0.102   4.308  1.408        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.12       15   4.21    0.472   2.519  0.878  0.044   3.117  1.438        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.36       15   3.97    0.522   3.592  0.848 -0.145   3.533  1.432        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.48       15   4.38    0.494   2.923  0.841  0.022   3.750  1.408        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  100000    -6.19       16   4.88    0.493   2.857  0.849 -0.255   3.391  1.446        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  120000    -6.34       16   4.78    0.482   3.259  0.864 -0.101   3.203  1.442        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  140000    -6.52       16   4.76    0.432   1.806  0.889  0.375   3.484  1.440        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  160000    -6.61       16   4.11    0.470   2.305  0.841 -0.062   3.344  1.438        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  180000    -6.66       16   4.26    0.455   1.967  0.826  0.126   4.250  1.446        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  200000    -6.58       16   4.04    0.480   2.667  0.812 -0.072   2.906  1.455        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  220000    -6.57       19   5.48    0.514   3.429  0.851 -0.097   3.579  1.456        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  240000    -6.69       19   5.22    0.456   2.286  0.817 -0.056   3.382  1.410        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  260000    -6.64       19   5.57    0.468   2.141  0.839  0.074   3.763  1.410        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  280000    -6.38       19   4.79    0.480   2.588  0.919  0.057   3.500  1.423        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  300000    -6.84       19   4.59    0.452   1.730  0.845 -0.029   4.250  1.447        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  320000    -6.69       19   4.88    0.460   2.435  0.789 -0.008   3.526  1.447        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  340000    -6.64       20   5.60    0.464   2.411  0.839  0.227   3.838  1.418        0     0     n   0.43       2      1.00     1.00   +0.000     0     nan
  360000    -6.59       20   5.65    0.445   2.270  0.861 -0.054   3.287  1.435        0     0     n   0.20       1      1.00     1.00   +0.000     0     nan
  380000    -6.73       24   7.04    0.484   2.605  0.799  0.366   3.469  1.440        0     0     n   0.18       3      1.00     1.00   +0.000     0     nan
  400000    -6.52       27   6.94    0.523   3.253  0.829 -0.133   3.435  1.466        0     0     n   0.19       3      1.00     1.00   +0.000     0     nan
  420000    -6.71       27   6.87    0.538   4.047  0.821  0.000   4.074  1.454        0     0     n   0.27       4      1.00     1.00   +0.000     0     nan
  440000    -6.80       27   6.39    0.497   2.667  0.863 -0.043   3.176  1.428        0     0     n   0.10       1      1.00     1.00   +0.000     0     nan
  460000    -6.81       27   6.72    0.522   3.130  0.786  0.108   3.231  1.466        0     0     n   0.22       3      1.00     1.00   +0.000     0     nan
  480000    -6.76       27   6.22    0.503   2.894  0.802  0.010   3.620  1.437        0     0     n   0.34       3      1.00     1.00   +0.000     0     nan
  500000    -6.87       34   9.41    0.489   2.824  0.820 -0.019   3.162  1.467        0     0     n   0.64      34      1.00     1.00   +0.000     0     nan
  520000    -6.93       34   9.14    0.494   3.398  0.863  0.107   3.882  1.432        0     0     n   0.67      32      1.00     1.00   +0.000     0     nan
  540000    -6.77       34   8.33    0.498   3.103  0.796 -0.080   3.463  1.468        0     0     n   0.50      17      1.00     1.00   +0.000     0     nan
  560000    -7.01       34   9.19    0.465   2.824  0.826  0.080   3.904  1.454        0     0     n   0.72      35      1.00     1.00   +0.000     0     nan
  580000    -6.99       34   8.67    0.494   2.915  0.809  0.013   4.118  1.460        0     0     n   0.58      23      1.00     1.00   +0.000     0     nan
  600000    -7.02       34   9.03    0.445   2.472  0.837  0.222   3.515  1.421        0     0     n   0.59      27      1.00     1.00   +0.000     0     nan
  620000    -7.03       34   9.63    0.446   2.387  0.802  0.180   4.081  1.467        0     0     n   0.66      38      1.00     1.00   +0.000     0     nan
  640000    -6.97       34   8.80    0.435   2.222  0.782  0.114   3.684  1.462        0     0     n   0.74      31      1.00     1.00   +0.000     0     nan
  660000    -6.75       33   9.16    0.475   2.576  0.843 -0.139   3.538  1.437        0     0     n   0.52      25      1.00     1.00   +0.000     0     nan
  680000    -7.00       34   9.18    0.445   2.222  0.844  0.104   3.515  1.462        0     0     n   0.62      30      1.00     1.00   +0.000     0     nan
  700000    -7.08       34   7.89    0.443   2.142  0.833  0.022   3.904  1.451        0     0     n   0.84      23      1.00     1.00   +0.000     0     nan
  720000    -7.10       34   7.91    0.420   1.758  0.823  0.051   3.824  1.456        0     0     n   0.83      23      1.00     1.00   +0.000     0     nan
  740000    -6.98       34   7.81    0.424   1.684  0.830  0.286   3.743  1.431        0     0     n   0.91      24      1.00     1.00   +0.000     0     nan
  760000    -7.02       34   7.60    0.452   2.142  0.821  0.057   3.610  1.457        0     0     n   0.60      14      1.00     1.00   +0.000     0     nan
  780000    -7.06       34   8.33    0.479   2.472  0.830  0.087   4.272  1.462        0     0     n   0.68      23      1.00     1.00   +0.000     0     nan
  800000    -6.93       34   8.44    0.452   2.222  0.823  0.193   4.007  1.440        0     0     n   0.70      25      1.00     1.00   +0.000     0     nan
  820000    -6.91       34   8.74    0.471   2.557  0.820  0.154   3.801  1.437        0     0     n   0.76      31      1.00     1.00   +0.000     0     nan
  840000    -6.89       34   8.49    0.429   1.832  0.812  0.117   3.596  1.446        0     0     n   0.90      33      1.00     1.00   +0.000     0     nan
  860000    -6.95       34   8.59    0.405   1.612  0.823  0.122   3.971  1.463        0     0     n   0.52      20      1.00     1.00   +0.000     0     nan
  880000    -6.83       34   8.54    0.468   2.387  0.800 -0.049   3.610  1.455        0     0     n   0.83      31      1.00     1.00   +0.000     0     nan
  900000    -6.81       34   8.54    0.447   1.908  0.861  0.161   3.566  1.432        0     0     n   0.43      16      1.00     1.00   +0.000     0     nan
  920000    -7.00       34   8.31    0.448   2.142  0.840  0.197   3.265  1.440        0     0     n   0.71      24      1.00     1.00   +0.000     0     nan
  940000    -6.77       29   6.52    0.372   1.288  0.833  0.530   4.371  1.458        0     0     n   1.05      12      1.00     1.00   +0.000     0     nan
  960000    -6.87       34   9.55    0.482   2.824  0.823  0.063   3.463  1.434        0     0     n   0.64      36      1.00     1.00   +0.000     0     nan
  980000    -6.85       34   7.86    0.484   2.472  0.824  0.177   3.684  1.412        0     0     n   0.59      16      1.00     1.00   +0.000     0     nan
 1000000    -7.04       34   9.03    0.481   2.824  0.843  0.021   3.941  1.435        0     0     n   0.68      31      1.00     1.00   +0.000     0     nan
 1020000    -6.99       73  14.67      nan     nan    nan    nan   3.575  1.450        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1040000    -6.90       73  13.67      nan     nan    nan    nan   3.750  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1060000    -7.08       73  14.76    0.476   2.485  0.840  0.104   3.356  1.435        0     0     n   0.92     194      1.00     1.00   +0.000     0     nan
 1080000    -7.27       73  14.32    0.521   3.391  0.826  0.215   3.702  1.427        0     0     n   0.85     165      1.00     1.00   +0.000     0     nan
 1100000    -6.96       73  14.33    0.482   2.328  0.807  0.136   3.777  1.445        0     0     n   0.89     173      1.00     1.00   +0.000     0     nan
 1120000    -6.98       73  14.81      nan     nan    nan    nan   3.606  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1140000    -7.14       97  23.14      nan     nan    nan    nan   3.825  1.454        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -7.17       73  15.52      nan     nan    nan    nan   3.634  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -6.99       73  15.50      nan     nan    nan    nan   3.884  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -7.13       73  15.00      nan     nan    nan    nan   3.788  1.454        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -6.99       46   8.21    0.493   3.252  0.793  0.241   3.321  1.414        0     0     n   0.56      18      1.00     1.00   +0.000     0     nan
 1240000    -7.10       46   8.90    0.490   2.634  0.801  0.282   3.582  1.444        0     0     n   0.55      24      1.00     1.00   +0.000     0     nan
 1260000    -7.11       46   9.07    0.465   2.443  0.828  0.262   3.391  1.435        0     0     n   0.64      30      1.00     1.00   +0.000     0     nan
 1280000    -7.15       46   8.45    0.500   3.038  0.853  0.162   3.772  1.414        0     0     n   0.58      21      1.00     1.00   +0.000     0     nan
 1300000    -7.04       46   8.54    0.475   3.108  0.824  0.045   4.016  1.452        0     0     n   0.75      28      1.00     1.00   +0.000     0     nan
 1320000    -7.28       46   8.76    0.516   3.784  0.805  0.121   3.609  1.450        0     0     n   0.61      25      1.00     1.00   +0.000     0     nan
 1340000    -7.22       46   8.07    0.493   3.179  0.799  0.191   3.690  1.478        0     0     n   1.00      30      1.00     1.00   +0.000     0     nan
 1360000    -7.12       46   8.27    0.464   2.506  0.843  0.103   4.103  1.423        0     0     n   0.85      28      1.00     1.00   +0.000     0     nan
 1380000    -6.91       46   8.34    0.436   1.909  0.800  0.061   3.397  1.445        0     0     n   0.94      32      1.00     1.00   +0.000     0     nan
 1400000    -7.17       57  12.82    0.330   0.640  0.816  0.028   3.943  1.448        0     0     n   0.89     126      1.00     1.00   +0.000     0     nan
 1420000    -7.09       57  12.49    0.357   1.076  0.816  0.190   4.092  1.429        0     0     n   0.92     120      1.00     1.00   +0.000     0     nan
 1440000    -6.84       57  13.09    0.375   1.351  0.800  0.077   3.816  1.442        0     0     n   0.84     126      1.00     1.00   +0.000     0     nan
 1460000    -7.09       57  12.60    0.369   1.153  0.854  0.093   3.811  1.458        0     0     n   1.00     134      1.00     1.00   +0.000     0     nan
 1480000    -7.23       57  12.70    0.428   2.047  0.843  0.073   3.693  1.433        0     0     n   0.81     111      1.00     1.00   +0.000     0     nan
 1500000    -7.23       57  12.35    0.411   1.774  0.775  0.074   3.965  1.460        0     0     n   0.85     107      1.00     1.00   +0.000     0     nan
 1520000    -7.04       57  12.07    0.419   2.047  0.816  0.147   3.741  1.447        0     0     n   0.80      95      1.00     1.00   +0.000     0     nan
 1540000    -7.04       46   9.04    0.484   2.443  0.821  0.157   3.565  1.441        0     0     n   0.54      25      1.00     1.00   +0.000     0     nan
 1560000    -7.08       57  13.61    0.404   1.686  0.829  0.003   3.772  1.448        0     0     n   0.76     127      1.00     1.00   +0.000     0     nan
 1580000    -7.17       57  13.51    0.376   1.231  0.827  0.165   3.732  1.454        0     0     n   0.89     146      1.00     1.00   +0.000     0     nan
 1600000    -7.12       57  12.38    0.376   1.270  0.818  0.139   3.798  1.439        0     0     n   0.97     124      1.00     1.00   +0.000     0     nan
