MIXTURE 2-D: 0 short (2 tails) + 208 long (4 tails) + 4887 water, L=92.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     2.74        6   1.79    0.664   8.000  0.897 -0.382   5.000  1.195        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -5.90        8   2.75    0.429   2.133  0.900 -0.112   3.875  1.442        0     0     n   0.00       0      1.00      nan   +nan     0     nan
   40000    -6.32       10   2.84    0.460   2.444  0.888  0.184   4.000  1.422        0     0     n   0.00       0      1.00      nan   +nan     0     nan
   60000    -6.42       11   3.57    0.470   2.667  0.833  0.160   3.318  1.465        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   80000    -6.43       11   3.37    0.435   2.146  0.801  0.077   3.705  1.471        0     0     n   0.00       0      1.00      nan   +nan     0     nan
  100000    -6.49       18   4.72    0.481   2.968  0.833 -0.004   3.778  1.404        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  120000    -6.68       24   7.46    0.504   2.988  0.849  0.198   3.698  1.477        0     0     n   0.28       6      1.00     1.00   +0.000     0     nan
  140000    -6.56       24   6.28    0.506   3.400  0.787 -0.160   3.042  1.458        0     0     n   0.11       1      1.00     1.00   +0.000     0     nan
  160000    -6.77       26   6.88    0.528   3.442  0.829 -0.270   3.317  1.459        0     0     n   0.20       3      1.00     1.00   +0.000     0     nan
  180000    -6.87       26   7.04    0.525   4.000  0.866 -0.049   3.750  1.457        0     0     n   0.36       6      1.00     1.00   +0.000     0     nan
  200000    -6.78       26   6.20    0.553   4.300  0.842 -0.210   3.558  1.438        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  220000    -6.83       26   6.58    0.528   4.000  0.829 -0.159   3.625  1.445        0     0     n   0.08       1      1.00     1.00   +0.000     0     nan
  240000    -7.00       37   8.14    0.564   4.389  0.800 -0.184   3.709  1.463        0     0     n   0.23       7      1.00     1.00   +0.000     0     nan
  260000    -7.03       37   8.53    0.512   3.290  0.828 -0.208   3.723  1.430        0     0     n   0.43      16      1.00     1.00   +0.000     0     nan
  280000    -6.98       37   8.45    0.524   3.570  0.824 -0.003   3.480  1.438        0     0     n   0.31      11      1.00     1.00   +0.000     0     nan
  300000    -6.93       37   8.48    0.524   3.475  0.805 -0.059   3.196  1.431        0     0     n   0.38      14      1.00     1.00   +0.000     0     nan
  320000    -6.78       37   8.51    0.529   3.667  0.824 -0.031   3.750  1.439        0     0     n   0.19       7      1.00     1.00   +0.000     0     nan
  340000    -6.91       37   8.63    0.557   3.765  0.842  0.017   2.736  1.407        0     0     n   0.33      13      1.00     1.00   +0.000     0     nan
  360000    -7.06       37   8.89    0.553   3.966  0.827 -0.138   3.892  1.441        0     0     n   0.48      21      1.00     1.00   +0.000     0     nan
  380000    -7.19       37   9.91    0.547   3.966  0.824 -0.040   3.054  1.418        0     0     n   0.57      36      1.00     1.00   +0.000     0     nan
  400000    -7.13       37   9.65    0.554   4.500  0.830  0.100   3.270  1.434        0     0     n   0.52      30      1.00     1.00   +0.000     0     nan
  420000    -7.08       37   9.89    0.535   3.864  0.827 -0.011   3.845  1.453        0     0     n   0.75      47      1.00     1.00   +0.000     0     nan
  440000    -6.86       37  10.64    0.517   3.290  0.818 -0.102   3.845  1.446        0     0     n   0.73      58      1.00     1.00   +0.000     0     nan
  460000    -7.01       37  10.86    0.528   3.864  0.833  0.002   3.399  1.443        0     0     n   0.66      56      1.00     1.00   +0.000     0     nan
  480000    -6.95       37   9.87    0.546   3.966  0.795 -0.110   3.736  1.453        0     0     n   0.62      39      1.00     1.00   +0.000     0     nan
  500000    -7.23       37   9.49    0.546   3.864  0.809 -0.133   3.966  1.445        0     0     n   0.55      30      1.00     1.00   +0.000     0     nan
  520000    -7.09       37   9.86    0.542   3.667  0.827 -0.028   3.662  1.461        0     0     n   0.59      37      1.00     1.00   +0.000     0     nan
  540000    -6.90       37  10.48    0.541   3.966  0.853 -0.022   3.811  1.442        0     0     n   0.62      47      1.00     1.00   +0.000     0     nan
  560000    -7.10       37  10.77    0.508   3.382  0.830  0.161   3.878  1.439        0     0     n   0.66      55      1.00     1.00   +0.000     0     nan
  580000    -6.94       37  10.23    0.548   3.570  0.812  0.037   3.649  1.451        0     0     n   0.71      50      1.00     1.00   +0.000     0     nan
  600000    -7.08       37   9.49    0.566   3.864  0.814 -0.103   3.784  1.471        0     0     n   0.64      35      1.00     1.00   +0.000     0     nan
  620000    -6.98       37   9.72    0.545   3.966  0.843 -0.097   4.203  1.466        0     0     n   0.57      34      1.00     1.00   +0.000     0     nan
  640000    -6.89       37  10.27    0.531   3.570  0.827 -0.024   3.635  1.428        0     0     n   0.60      43      1.00     1.00   +0.000     0     nan
  660000    -6.95       37  10.00    0.537   3.475  0.849  0.039   3.615  1.437        0     0     n   0.57      37      1.00     1.00   +0.000     0     nan
  680000    -7.25       41   9.75    0.489   3.086  0.833  0.025   3.628  1.454        0     0     n   0.72      43      1.00     1.00   +0.000     0     nan
  700000    -7.13       51  13.92      nan     nan    nan    nan   4.123  1.463        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  720000    -7.07       51  14.10      nan     nan    nan    nan   4.181  1.460        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  740000    -7.25       51  13.89      nan     nan    nan    nan   3.946  1.468        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  760000    -7.16       51  13.23      nan     nan    nan    nan   4.353  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  780000    -7.16       51  12.58      nan     nan    nan    nan   3.809  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  800000    -6.98       51  13.82      nan     nan    nan    nan   3.480  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  820000    -7.56       51  12.59      nan     nan    nan    nan   4.216  1.451        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  840000    -7.13       51  13.99      nan     nan    nan    nan   3.647  1.456        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  860000    -7.22       51  13.73      nan     nan    nan    nan   3.711  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  880000    -7.17       51  14.37      nan     nan    nan    nan   3.975  1.459        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  900000    -7.11       45  13.39      nan     nan    nan    nan   3.950  1.447        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  920000    -7.25       51  15.14      nan     nan    nan    nan   3.475  1.465        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  940000    -7.21       51  14.04      nan     nan    nan    nan   3.681  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  960000    -7.23       40  11.33    0.446   2.411  0.845  0.061   3.931  1.421        0     0     n   0.93      91      1.00     1.00   +0.000     0     nan
  980000    -7.39       51  14.59      nan     nan    nan    nan   3.794  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1000000    -7.09       51  13.34      nan     nan    nan    nan   3.853  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1020000    -7.13       51  13.72      nan     nan    nan    nan   3.784  1.464        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1040000    -7.10       51  13.75      nan     nan    nan    nan   3.446  1.448        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1060000    -7.10       51  13.47      nan     nan    nan    nan   3.858  1.464        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1080000    -7.07       42  10.83    0.527   3.706  0.808 -0.005   3.726  1.453        0     0     n   0.76      64      1.00     1.00   +0.000     0     nan
 1100000    -7.32       51  13.48      nan     nan    nan    nan   3.245  1.449        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1120000    -7.52       51  13.77      nan     nan    nan    nan   4.025  1.465        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1140000    -7.08       51  14.45      nan     nan    nan    nan   3.931  1.462        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -7.12       51  14.56      nan     nan    nan    nan   3.632  1.439        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -7.27       51  13.92      nan     nan    nan    nan   3.706  1.449        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -7.06       51  13.29      nan     nan    nan    nan   3.250  1.463        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -7.26       51  12.87      nan     nan    nan    nan   3.794  1.465        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1240000    -7.31       51  13.65      nan     nan    nan    nan   3.956  1.451        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1260000    -7.12       51  14.62      nan     nan    nan    nan   3.598  1.449        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1280000    -7.32       51  14.33      nan     nan    nan    nan   3.971  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1300000    -7.23       51  13.32      nan     nan    nan    nan   3.843  1.457        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1320000    -7.36       51  13.21      nan     nan    nan    nan   4.069  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1340000    -7.39       51  12.95      nan     nan    nan    nan   4.049  1.447        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1360000    -7.37       51  12.83      nan     nan    nan    nan   3.588  1.450        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1380000    -7.15       51  13.60      nan     nan    nan    nan   3.931  1.448        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1400000    -7.39       51  13.45      nan     nan    nan    nan   3.569  1.458        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1420000    -7.03       51  13.44      nan     nan    nan    nan   3.588  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -7.12       51  14.60      nan     nan    nan    nan   3.725  1.454        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1460000    -7.16       51  12.32      nan     nan    nan    nan   4.123  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1480000    -7.15       51  13.54      nan     nan    nan    nan   3.098  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1500000    -7.10       51  13.77      nan     nan    nan    nan   3.745  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1520000    -7.22       51  13.47      nan     nan    nan    nan   3.632  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -7.01       51  13.94      nan     nan    nan    nan   3.828  1.461        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1560000    -7.31       51  13.87      nan     nan    nan    nan   3.618  1.449        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1580000    -7.24       51  14.29      nan     nan    nan    nan   3.750  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1600000    -7.24       51  13.62      nan     nan    nan    nan   3.897  1.467        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
