steric push-off: E/lipid 1.9 -> -21.1, min non-bonded r 0.019 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.58       80  17.47      nan     nan    nan    nan   2.581  1.458     1293     1     n    nan       0      1.00     1.00   +0.000     1   0.445
    5000    -7.38       80  17.29      nan     nan    nan    nan   3.709  1.440     1298     1     n    nan       0      1.00     1.00   +0.000     1   0.448
   10000    -7.38       80  16.68      nan     nan    nan    nan   3.759  1.444     1366     1     n    nan       0      1.00     1.00   +0.000     1   0.433
   15000    -7.41       80  17.72      nan     nan    nan    nan   3.581  1.443     1528     1     n    nan       0      1.00     1.00   +0.000     1   0.390
   20000    -7.54       80  17.79      nan     nan    nan    nan   3.947  1.453     1515     1     n    nan       0      1.00     1.00   +0.000     1   0.383
   25000    -7.27       80  17.85      nan     nan    nan    nan   3.319  1.429     1461     1     n    nan       0      1.00     1.00   +0.000     1   0.405
   30000    -7.32       80  14.75      nan     nan    nan    nan   3.700  1.440     1375     1     n    nan       0      1.00     1.00   +0.000     1   0.427
   35000    -7.13       80  14.98      nan     nan    nan    nan   3.413  1.449     1373     1     n    nan       0      1.00     1.00   +0.000     1   0.422
   40000    -6.82       80  13.94      nan     nan    nan    nan   3.278  1.437     1359     1     n    nan       0      1.00     1.00   +0.000     1   0.427
   45000    -7.10       80  14.70      nan     nan    nan    nan   3.425  1.427     1361     1     n    nan       0      1.00     1.00   +0.000     1   0.422
   50000    -7.07       80  14.61      nan     nan    nan    nan   3.459  1.417     1417     1     n    nan       0      1.00     1.00   +0.000     1   0.410
   55000    -7.18       80  13.83      nan     nan    nan    nan   3.419  1.445     1381     1     n    nan       0      1.00     1.00   +0.000     1   0.427
   60000    -7.16       80  14.16      nan     nan    nan    nan   3.684  1.450     1354     1     n    nan       0      1.00     1.00   +0.000     1   0.434
   65000    -7.32       80  14.43      nan     nan    nan    nan   3.922  1.462     1378     1     n    nan       0      1.00     1.00   +0.000     1   0.419
   70000    -7.13       80  17.27      nan     nan    nan    nan   3.963  1.444     1410     1     n    nan       0      1.00     1.00   +0.000     1   0.418
   75000    -7.28       80  17.39      nan     nan    nan    nan   3.616  1.440     1542     1     n    nan       0      1.00     1.00   +0.000     1   0.384
   80000    -7.32       80  17.61      nan     nan    nan    nan   3.734  1.433     1560     1     n    nan       0      1.00     1.00   +0.000     1   0.378
   85000    -7.15       80  17.61      nan     nan    nan    nan   3.506  1.435     1487     1     n    nan       0      1.00     1.00   +0.000     1   0.392
