steric push-off: E/lipid -17.2 -> -21.0, min non-bonded r 0.660 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.65       80  17.47      nan     nan    nan    nan   2.719  1.462     1288     1     n    nan       0      1.00     1.00   +0.000     1   1.063
    5000    -7.47       80  17.75      nan     nan    nan    nan   3.812  1.447     1388     1     n    nan       0      1.00     1.00   +0.000     1   1.003
   10000    -7.34       80  16.99      nan     nan    nan    nan   3.628  1.424     1299     1     n    nan       0      1.00     1.00   +0.000     1   1.059
   15000    -7.14       80  17.42      nan     nan    nan    nan   3.219  1.444     1353     1     n    nan       0      1.00     1.00   +0.000     1   1.032
   20000    -7.54       80  17.17      nan     nan    nan    nan   3.744  1.442     1353     1     n    nan       0      1.00     1.00   +0.000     1   1.016
   25000    -7.17       80  18.32      nan     nan    nan    nan   3.578  1.425     1271     1     n    nan       0      1.00     1.00   +0.000     1   1.095
   30000    -7.08       80  15.49      nan     nan    nan    nan   3.469  1.425     1178     1     n    nan       0      1.00     1.00   +0.000     1   1.136
   35000    -7.53       80  17.64      nan     nan    nan    nan   3.584  1.436     1211     1     n    nan       0      1.00     1.00   +0.000     1   1.122
   40000    -7.70       80  16.77      nan     nan    nan    nan   4.056  1.449     1191     1     n    nan       0      1.00     1.00   +0.000     1   1.159
   45000    -7.41       80  16.91      nan     nan    nan    nan   3.556  1.423     1162     1     n    nan       0      1.00     1.00   +0.000     1   1.171
   50000    -7.43       80  17.08      nan     nan    nan    nan   3.666  1.428     1070     1     n    nan       0      1.00     1.00   +0.000     1   1.287
   55000    -7.62       80  16.64      nan     nan    nan    nan   3.403  1.439      997     1     n    nan       0      1.00     1.00   +0.000     1   1.325
   60000    -7.37       80  17.05      nan     nan    nan    nan   3.569  1.445     1084     1     n    nan       0      1.00     1.00   +0.000     1   1.241
   65000    -7.51       78  14.16      nan     nan    nan    nan   3.269  1.432     1022     1     n    nan       0      1.00     1.00   +0.000     1   1.296
   70000    -7.15       80  17.79      nan     nan    nan    nan   3.619  1.435     1027     1     n    nan       0      1.00     1.00   +0.000     1   1.302
   75000    -7.57       80  12.47      nan     nan    nan    nan   3.572  1.413     1014     1     n    nan       0      1.00     1.00   +0.000     1   1.338
   80000    -7.35       80  17.98      nan     nan    nan    nan   3.247  1.430     1022     1     n    nan       0      1.00     1.00   +0.000     1   1.317
   85000    -7.46       80  16.80      nan     nan    nan    nan   3.372  1.424     1068     1     n    nan       0      1.00     1.00   +0.000     1   1.271
   90000    -7.28       80  16.94      nan     nan    nan    nan   3.484  1.407     1053     1     n    nan       0      1.00     1.00   +0.000     1   1.270
   95000    -7.58       80  13.37      nan     nan    nan    nan   3.694  1.448     1070     1     n    nan       0      1.00     1.00   +0.000     1   1.273
  100000    -7.50       80  14.80      nan     nan    nan    nan   3.469  1.458     1097     1     n    nan       0      1.00     1.00   +0.000     1   1.210
  105000    -7.13       79  17.39      nan     nan    nan    nan   3.405  1.436     1178     1     n    nan       0      1.00     1.00   +0.000     1   1.129
  110000    -7.35       80  13.54      nan     nan    nan    nan   3.603  1.420     1057     1     n    nan       0      1.00     1.00   +0.000     1   1.261
  115000    -7.49       80  13.13      nan     nan    nan    nan   3.250  1.426     1096     1     n    nan       0      1.00     1.00   +0.000     1   1.246
  120000    -7.33       80  12.69      nan     nan    nan    nan   3.513  1.446     1023     1     n    nan       0      1.00     1.00   +0.000     1   1.298
