steric push-off: E/lipid 3.6 -> -21.6, min non-bonded r 0.072 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.63       80  17.47      nan     nan    nan    nan   2.613  1.458     1293     1     n    nan       0      1.00     1.00   +0.000     1   0.342
    5000    -7.61       80  17.37      nan     nan    nan    nan   3.578  1.452     1468     1     n    nan       0      1.00     1.00   +0.000     1   0.313
   10000    -7.22       80  16.79      nan     nan    nan    nan   3.522  1.463     1370     1     n    nan       0      1.00     1.00   +0.000     1   0.316
   15000    -7.26       80  17.02      nan     nan    nan    nan   3.731  1.442     1386     1     n    nan       0      1.00     1.00   +0.000     1   0.318
   20000    -7.11       80  17.10      nan     nan    nan    nan   3.459  1.445     1312     1     n    nan       0      1.00     1.00   +0.000     1   0.342
   25000    -7.10       80  15.50      nan     nan    nan    nan   3.259  1.443     1244     1     n    nan       0      1.00     1.00   +0.000     1   0.355
   30000    -6.95       80  16.49      nan     nan    nan    nan   3.347  1.425     1259     1     n    nan       0      1.00     1.00   +0.000     1   0.359
   35000    -7.15       80  16.77      nan     nan    nan    nan   3.678  1.449     1309     1     n    nan       0      1.00     1.00   +0.000     1   0.341
   40000    -6.98       80  17.64      nan     nan    nan    nan   3.372  1.426     1302     1     n    nan       0      1.00     1.00   +0.000     1   0.333
   45000    -7.09       80  16.22      nan     nan    nan    nan   3.581  1.439     1323     1     n    nan       0      1.00     1.00   +0.000     1   0.338
   50000    -6.96       80  15.66      nan     nan    nan    nan   3.359  1.442     1302     1     n    nan       0      1.00     1.00   +0.000     1   0.342
   55000    -7.59       80  17.15      nan     nan    nan    nan   3.784  1.452     1442     1     n    nan       0      1.00     1.00   +0.000     1   0.318
   60000    -7.18       80  15.02      nan     nan    nan    nan   3.231  1.461     1331     1     n    nan       0      1.00     1.00   +0.000     1   0.328
   65000    -7.16       80  14.55      nan     nan    nan    nan   3.478  1.442     1219     1     n    nan       0      1.00     1.00   +0.000     1   0.369
   70000    -7.03       80  13.89      nan     nan    nan    nan   3.697  1.441     1261     1     n    nan       0      1.00     1.00   +0.000     1   0.358
   75000    -7.31       80  12.79      nan     nan    nan    nan   3.444  1.445     1176     1     n    nan       0      1.00     1.00   +0.000     1   0.376
   80000    -7.22       80  13.30      nan     nan    nan    nan   3.219  1.458     1131     1     n    nan       0      1.00     1.00   +0.000     1   0.376
   85000    -7.16       80  12.82      nan     nan    nan    nan   3.606  1.443     1228     1     n    nan       0      1.00     1.00   +0.000     1   0.351
   90000    -7.22       80  12.90      nan     nan    nan    nan   3.934  1.439     1253     1     n    nan       0      1.00     1.00   +0.000     1   0.362
   95000    -7.26       80  12.77      nan     nan    nan    nan   3.241  1.422     1206     1     n    nan       0      1.00     1.00   +0.000     1   0.362
  100000    -7.05       80  13.11      nan     nan    nan    nan   3.416  1.440     1276     1     n    nan       0      1.00     1.00   +0.000     1   0.354
  105000    -7.15       80  15.31      nan     nan    nan    nan   3.700  1.453     1367     1     n    nan       0      1.00     1.00   +0.000     1   0.319
  110000    -7.57       80  13.26      nan     nan    nan    nan   4.125  1.453     1311     1     n    nan       0      1.00     1.00   +0.000     1   0.340
  115000    -7.33       80  13.18      nan     nan    nan    nan   3.544  1.432     1269     1     n    nan       0      1.00     1.00   +0.000     1   0.347
  120000    -7.29       80  15.49      nan     nan    nan    nan   3.462  1.439     1235     1     n    nan       0      1.00     1.00   +0.000     1   0.359
  125000    -7.22       80  17.23      nan     nan    nan    nan   3.575  1.441     1225     1     n    nan       0      1.00     1.00   +0.000     1   0.356
  130000    -7.34       80  15.36      nan     nan    nan    nan   3.503  1.448     1250     1     n    nan       0      1.00     1.00   +0.000     1   0.362
  135000    -7.26       80  14.55      nan     nan    nan    nan   3.700  1.455     1233     1     n    nan       0      1.00     1.00   +0.000     1   0.363
  140000    -7.26       80  13.06      nan     nan    nan    nan   3.725  1.454     1171     1     n    nan       0      1.00     1.00   +0.000     1   0.372
  145000    -7.14       80  16.01      nan     nan    nan    nan   3.456  1.453     1140     1     n    nan       0      1.00     1.00   +0.000     1   0.389
  150000    -7.21       80  17.26      nan     nan    nan    nan   3.300  1.432     1276     1     n    nan       0      1.00     1.00   +0.000     1   0.347
  155000    -7.11       80  16.93      nan     nan    nan    nan   3.534  1.429     1265     1     n    nan       0      1.00     1.00   +0.000     1   0.357
