steric push-off: E/lipid -16.7 -> -20.9, min non-bonded r 0.645 -> 0.850
MIXTURE 2-D: 0 short (2 tails) + 80 long (4 tails) + 956 water, L=44.0, packing fraction 0.55, kT=0.45, start=ring
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -7.66       80  17.47      nan     nan    nan    nan   2.663  1.461     1293     1     n    nan       0      1.00     1.00   +0.000     1   1.089
    5000    -7.56       80  17.53      nan     nan    nan    nan   3.819  1.438     1541     1     n    nan       0      1.00     1.00   +0.000     1   0.932
   10000    -7.57       80  16.58      nan     nan    nan    nan   3.850  1.457     1515     1     n    nan       0      1.00     1.00   +0.000     1   0.929
   15000    -7.31       80  16.48      nan     nan    nan    nan   3.700  1.452     1597     1     n    nan       0      1.00     1.00   +0.000     1   0.907
   20000    -7.45       80  16.01      nan     nan    nan    nan   3.359  1.447     1620     1     n    nan       0      1.00     1.00   +0.000     1   0.874
   25000    -7.33       80  16.17      nan     nan    nan    nan   3.606  1.446     1596     1     n    nan       0      1.00     1.00   +0.000     1   0.895
   30000    -7.23       80  17.48      nan     nan    nan    nan   3.306  1.448     1564     1     n    nan       0      1.00     1.00   +0.000     1   0.914
   35000    -7.20       80  16.41      nan     nan    nan    nan   3.806  1.443     1646     1     n    nan       0      1.00     1.00   +0.000     1   0.869
   40000    -7.42       80  17.50      nan     nan    nan    nan   3.556  1.436     1613     1     n    nan       0      1.00     1.00   +0.000     1   0.906
   45000    -7.48       80  18.47      nan     nan    nan    nan   3.947  1.450     1588     1     n    nan       0      1.00     1.00   +0.000     1   0.917
   50000    -7.49       80  18.85      nan     nan    nan    nan   3.634  1.455     1534     1     n    nan       0      1.00     1.00   +0.000     1   0.944
   55000    -7.60       80  18.78      nan     nan    nan    nan   3.666  1.448     1611     1     n    nan       0      1.00     1.00   +0.000     1   0.890
   60000    -7.35       79  18.78      nan     nan    nan    nan   3.690  1.442     1493     1     n    nan       0      1.00     1.00   +0.000     1   0.954
   65000    -7.44       80  18.32      nan     nan    nan    nan   3.794  1.452     1386     1     n    nan       0      1.00     1.00   +0.000     1   1.029
   70000    -7.07       80  15.71      nan     nan    nan    nan   3.609  1.433     1380     1     n    nan       0      1.00     1.00   +0.000     1   1.042
   75000    -7.39       80  13.39      nan     nan    nan    nan   3.388  1.443     1243     1     n    nan       0      1.00     1.00   +0.000     1   1.113
   80000    -7.68       80  16.37      nan     nan    nan    nan   3.947  1.450     1237     1     n    nan       0      1.00     1.00   +0.000     1   1.150
   85000    -6.98       80  13.16      nan     nan    nan    nan   3.591  1.454     1251     1     n    nan       0      1.00     1.00   +0.000     1   1.128
   90000    -7.24       80  12.85      nan     nan    nan    nan   3.762  1.434     1232     1     n    nan       0      1.00     1.00   +0.000     1   1.151
   95000    -7.12       80  12.94      nan     nan    nan    nan   3.566  1.434     1263     1     n    nan       0      1.00     1.00   +0.000     1   1.115
