MIXTURE 2-D: 0 short (2 tails) + 320 long (4 tails) + 4327 water, L=92.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     5.60       10   3.11    0.524   4.129  0.927 -0.669   1.175  1.190        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -6.25       19   5.34    0.477   2.588  0.840 -0.001   3.316  1.449        0     0     n   0.35       1      1.00     1.00   +0.000     0     nan
   40000    -6.34       22   5.74    0.471   2.532  0.833 -0.014   2.886  1.444        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.56       33   8.79    0.445   2.400  0.887  0.246   3.424  1.407        0     0     n   0.46      17      1.00     1.00   +0.000     0     nan
   80000    -6.80       55  12.57      nan     nan    nan    nan   3.941  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  100000    -6.65       32   8.08    0.459   2.483  0.819  0.217   3.602  1.422        0     0     n   0.63      17      1.00     1.00   +0.000     0     nan
  120000    -6.82       55  13.36      nan     nan    nan    nan   3.818  1.458        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  140000    -6.78       44  10.54    0.554   4.204  0.836 -0.048   3.017  1.425        0     0     n   0.55      38      1.00     1.00   +0.000     0     nan
  160000    -6.92       55  12.81      nan     nan    nan    nan   3.595  1.456        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  180000    -6.79       55  12.43    0.531   3.797  0.833 -0.076   3.555  1.414        0     0     n   0.68      78      1.00     1.00   +0.000     0     nan
  200000    -6.83       55  12.18      nan     nan    nan    nan   3.818  1.441        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  220000    -6.59       55  12.74      nan     nan    nan    nan   3.209  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  240000    -6.93       55  13.19      nan     nan    nan    nan   3.568  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  260000    -6.96       55  11.98      nan     nan    nan    nan   3.786  1.447        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  280000    -6.94       55  12.29      nan     nan    nan    nan   3.759  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  300000    -7.20       60  14.97      nan     nan    nan    nan   3.400  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  320000    -6.82       60  15.25      nan     nan    nan    nan   3.325  1.416        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  340000    -7.05       60  15.03      nan     nan    nan    nan   3.642  1.459        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  360000    -7.12       60  16.22      nan     nan    nan    nan   3.562  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  380000    -6.92       60  15.72      nan     nan    nan    nan   3.521  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -7.06       66  17.58      nan     nan    nan    nan   3.777  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -7.02       66  17.41      nan     nan    nan    nan   3.239  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -7.02       66  18.09      nan     nan    nan    nan   3.644  1.465        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -6.79       65  18.37      nan     nan    nan    nan   3.750  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -7.19       48  13.48      nan     nan    nan    nan   3.974  1.456        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -7.01       47  12.86      nan     nan    nan    nan   3.755  1.477        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -7.10       47  12.07    0.486   3.220  0.784  0.057   3.878  1.461        0     0     n   0.90      94      1.00     1.00   +0.000     0     nan
  540000    -7.05       47  12.27    0.477   3.012  0.833 -0.082   3.681  1.445        0     0     n   0.98     108      1.00     1.00   +0.000     0     nan
  560000    -7.10       69  11.76      nan     nan    nan    nan   3.543  1.449        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -6.96       69  11.80      nan     nan    nan    nan   3.543  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -6.97       66  16.74      nan     nan    nan    nan   3.879  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  620000    -7.08       66  16.70      nan     nan    nan    nan   3.746  1.436        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  640000    -7.07      129  24.73      nan     nan    nan    nan   3.707  1.436        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  660000    -7.28      129  24.32      nan     nan    nan    nan   3.649  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  680000    -7.17      129  24.20      nan     nan    nan    nan   3.630  1.426        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  700000    -7.21      130  23.95      nan     nan    nan    nan   3.823  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  720000    -7.28      130  24.46      nan     nan    nan    nan   3.748  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  740000    -7.15      130  22.91      nan     nan    nan    nan   3.769  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  760000    -7.21      130  23.60      nan     nan    nan    nan   3.765  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  780000    -7.14      130  24.37      nan     nan    nan    nan   3.937  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  800000    -7.12      130  24.08      nan     nan    nan    nan   3.773  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  820000    -7.20      130  23.35      nan     nan    nan    nan   3.744  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  840000    -7.12      119  23.35      nan     nan    nan    nan   3.647  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  860000    -7.03      130  22.98      nan     nan    nan    nan   3.677  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  880000    -7.07      130  23.58      nan     nan    nan    nan   3.806  1.437        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  900000    -7.23      130  22.48      nan     nan    nan    nan   3.667  1.440        0     0     n    nan       0      1.00     1.00   +0.000     1   1.150
  920000    -7.21      130  22.01      nan     nan    nan    nan   3.675  1.434        0     0     n    nan       0      1.00     1.00   +0.000     1   1.057
  940000    -6.99      130  22.24      nan     nan    nan    nan   3.688  1.439        0     0     n    nan       0      1.00     1.00   +0.000     1   0.921
  960000    -7.06      118  24.89      nan     nan    nan    nan   3.498  1.434        0     0     n    nan       0      1.00     1.00   +0.000     1   1.113
  980000    -6.98      129  22.49      nan     nan    nan    nan   3.486  1.434        0     0     n    nan       0      1.00     1.00   +0.000     1   1.010
 1000000    -7.01      129  23.04      nan     nan    nan    nan   3.626  1.424        0     0     n    nan       0      1.00     1.00   +0.000     1   1.093
 1020000    -7.09      131  23.97      nan     nan    nan    nan   3.691  1.416        0     0     n    nan       0      1.00     1.00   +0.000     1   1.048
 1040000    -7.05      131  23.67      nan     nan    nan    nan   3.548  1.436        0     0     n    nan       0      1.00     1.00   +0.000     1   1.039
 1060000    -6.98      131  22.43      nan     nan    nan    nan   3.756  1.446        0     0     n    nan       0      1.00     1.00   +0.000     1   1.018
 1080000    -7.01      103  22.96      nan     nan    nan    nan   3.408  1.446        0     0     n    nan       0      1.00     1.00   +0.000     1   1.014
 1100000    -7.07      131  23.08      nan     nan    nan    nan   3.464  1.430        0     0     n    nan       0      1.00     1.00   +0.000     1   0.822
 1120000    -7.04       96  25.47      nan     nan    nan    nan   3.693  1.442        0     0     n    nan       0      1.00     1.00   +0.000     1   0.959
 1140000    -7.13      131  22.83      nan     nan    nan    nan   3.574  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1160000    -7.03      131  22.84      nan     nan    nan    nan   3.517  1.421        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1180000    -6.92       98  23.37      nan     nan    nan    nan   3.661  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1200000    -7.17       98  23.24      nan     nan    nan    nan   3.523  1.436        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1220000    -7.10       98  23.52      nan     nan    nan    nan   3.554  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1240000    -7.00      131  23.35      nan     nan    nan    nan   3.658  1.422        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1260000    -7.21       94  24.75      nan     nan    nan    nan   3.734  1.438        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1280000    -7.25       94  25.95      nan     nan    nan    nan   3.811  1.448        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1300000    -7.11       94  26.29      nan     nan    nan    nan   3.995  1.447        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1320000    -7.17       94  26.28      nan     nan    nan    nan   3.963  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1340000    -7.23       94  26.36      nan     nan    nan    nan   3.944  1.460        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1360000    -7.25       94  26.76      nan     nan    nan    nan   4.051  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1380000    -7.28       94  26.05      nan     nan    nan    nan   4.056  1.446        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1400000    -7.03       94  26.05      nan     nan    nan    nan   3.668  1.454        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1420000    -7.12       94  26.17      nan     nan    nan    nan   3.737  1.451        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1440000    -7.21       94  25.83      nan     nan    nan    nan   3.777  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1460000    -7.00       94  24.78      nan     nan    nan    nan   3.324  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1480000    -7.12       94  25.90      nan     nan    nan    nan   3.973  1.444        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1500000    -7.25       94  26.75      nan     nan    nan    nan   3.846  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1520000    -7.05       94  26.60      nan     nan    nan    nan   3.928  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1540000    -7.23       94  25.64      nan     nan    nan    nan   3.843  1.458        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1560000    -7.15       94  26.86      nan     nan    nan    nan   3.915  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1580000    -7.04       94  26.00      nan     nan    nan    nan   3.888  1.442        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
 1600000    -6.95       94  26.62      nan     nan    nan    nan   3.577  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
