MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     6.68        7   1.96    0.528   3.478  0.989  0.251   1.607  0.976        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -6.33       28   6.97    0.497   2.969  0.887  0.349   2.920  1.438        0     0     n   0.71      10      1.00     1.00   +0.000     0     nan
   40000    -6.32       30   7.83    0.491   2.819  0.882  0.079   3.242  1.383        0     0     n   0.34       8      1.00     1.00   +0.000     0     nan
   60000    -6.59       30   6.65    0.528   3.475  0.826 -0.015   3.825  1.427        0     0     n   0.27       3      1.00     1.00   +0.000     0     nan
   80000    -6.73       30   7.26    0.437   2.053  0.840  0.253   3.600  1.391        0     0     n   0.59      10      1.00     1.00   +0.000     0     nan
  100000    -6.71       30   7.18    0.446   1.878  0.863  0.098   3.233  1.410        0     0     n   0.43       7      1.00     1.00   +0.000     0     nan
  120000    -6.76       30   6.39    0.452   2.234  0.819  0.152   3.917  1.435        0     0     n   0.98       9      1.00     1.00   +0.000     0     nan
  140000    -6.81       38   9.01    0.539   4.203  0.852 -0.071   3.934  1.449        0     0     n   0.50      20      1.00     1.00   +0.000     0     nan
  160000    -6.79       38   9.86      nan     nan    nan    nan   3.322  1.453        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  180000    -6.88       38   9.16      nan     nan    nan    nan   3.586  1.452        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  200000    -6.77       42  10.38    0.513   3.133  0.808  0.042   4.071  1.453        0     0     n   0.73      48      1.00     1.00   +0.000     0     nan
  220000    -7.09       42  10.25      nan     nan    nan    nan   3.821  1.455        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  240000    -6.83       51  10.59    0.297   0.309  0.849  0.359   3.265  1.413        0     0     n   1.15      80      1.00     1.00   +0.000     0     nan
  260000    -6.78       51  10.86    0.304   0.529  0.838  0.326   3.725  1.433        0     0     n   1.05      79      1.00     1.00   +0.000     0     nan
  280000    -6.91       72  22.19      nan     nan    nan    nan   4.052  1.450        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  300000    -6.83       72  20.92      nan     nan    nan    nan   3.597  1.458        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  320000    -7.04       72  21.25      nan     nan    nan    nan   3.837  1.452        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  340000    -6.94       72  19.32      nan     nan    nan    nan   3.465  1.445        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  360000    -7.02       72  19.70      nan     nan    nan    nan   3.722  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  380000    -6.92       72  21.88      nan     nan    nan    nan   3.378  1.428        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -6.99       76  13.67      nan     nan    nan    nan   3.477  1.408        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -7.02       76  13.58      nan     nan    nan    nan   3.747  1.433        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -7.16       76  13.55      nan     nan    nan    nan   3.980  1.440        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -7.14       76  12.88      nan     nan    nan    nan   3.812  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -6.90       76  12.88      nan     nan    nan    nan   3.437  1.412        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -7.14       76  12.91      nan     nan    nan    nan   3.697  1.423        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -6.90       76  12.63      nan     nan    nan    nan   3.283  1.399        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -7.21       76  12.77      nan     nan    nan    nan   3.664  1.430        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -6.91       76  12.90      nan     nan    nan    nan   3.875  1.419        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -7.05       82  13.53      nan     nan    nan    nan   3.582  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -7.04       74  11.38      nan     nan    nan    nan   3.591  1.398        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
