MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     6.76        7   1.95    0.527   3.478  0.989  0.247   1.607  0.980        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -6.10       15   3.71    0.413   1.627  0.804  0.262   3.833  1.433        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   40000    -6.42       22   4.95    0.536   4.418  0.843 -0.337   2.807  1.427        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   60000    -6.59       24   6.32    0.483   2.483  0.859  0.004   3.219  1.391        0     0     n   0.12       1      1.00     1.00   +0.000     0     nan
   80000    -6.83       24   5.85    0.470   2.605  0.856  0.297   3.271  1.396        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  100000    -6.49       24   5.76    0.431   1.600  0.799 -0.004   3.479  1.443        0     0     n   0.40       2      1.00     1.00   +0.000     0     nan
  120000    -6.63       26   6.51    0.501   2.813  0.846 -0.029   3.202  1.417        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
  140000    -6.57       36   9.37    0.406   1.566  0.833  0.182   3.444  1.426        0     0     n   0.73      34      1.00     1.00   +0.000     0     nan
  160000    -6.63       31   8.26    0.391   1.561  0.823  0.281   3.331  1.429        0     0     n   0.62      18      1.00     1.00   +0.000     0     nan
  180000    -6.35       41   8.80    0.523   3.246  0.847 -0.152   3.945  1.421        0     0     n   0.43      16      1.00     1.00   +0.000     0     nan
  200000    -6.69       41   8.45    0.505   2.778  0.828  0.044   3.915  1.419        0     0     n   0.44      14      1.00     1.00   +0.000     0     nan
  220000    -6.74       40   8.47    0.468   2.201  0.802  0.003   3.519  1.427        0     0     n   0.56      18      1.00     1.00   +0.000     0     nan
  240000    -6.83       50  12.44      nan     nan    nan    nan   3.100  1.410        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  260000    -6.86       50  11.68      nan     nan    nan    nan   3.350  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  280000    -6.67       50  11.80      nan     nan    nan    nan   3.975  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  300000    -6.71       50  11.35      nan     nan    nan    nan   3.465  1.399        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  320000    -6.84       51  11.21      nan     nan    nan    nan   3.745  1.429        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  340000    -6.78       52  11.47      nan     nan    nan    nan   3.606  1.413        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  360000    -7.01       52  10.84      nan     nan    nan    nan   3.558  1.411        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  380000    -6.80       52  10.45      nan     nan    nan    nan   3.731  1.422        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -6.87       52  10.01      nan     nan    nan    nan   3.351  1.415        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -7.00       52  10.62      nan     nan    nan    nan   3.788  1.399        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -6.63       52  10.21      nan     nan    nan    nan   3.596  1.422        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -6.63       52   9.82      nan     nan    nan    nan   3.514  1.406        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -7.02       52  10.49      nan     nan    nan    nan   3.418  1.431        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -6.90       52  10.07    0.446   2.400  0.789  0.046   3.803  1.406        0     0     n   0.80      47      1.00     1.00   +0.000     0     nan
  520000    -6.86       52  10.67      nan     nan    nan    nan   3.308  1.409        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -7.07       52  11.16      nan     nan    nan    nan   3.683  1.414        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -6.95       52  12.14      nan     nan    nan    nan   3.447  1.406        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -6.91       52  11.83      nan     nan    nan    nan   3.111  1.410        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -7.09       52  12.18      nan     nan    nan    nan   3.313  1.408        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
