MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=random
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0     5.19        9   2.44    0.584   4.444  0.972 -0.377   1.472  1.213        0     0     n   0.00       0      1.00     1.00   +0.000     0     nan
   20000    -6.27       23   6.80    0.350   0.898  0.839  0.219   3.707  1.437        0     0     n   1.11      14      1.00     1.00   +0.000     0     nan
   40000    -6.53       23   6.33    0.352   0.990  0.809  0.374   3.543  1.454        0     0     n   1.04       9      1.00     1.00   +0.000     0     nan
   60000    -6.71       31   7.96    0.476   2.595  0.793 -0.001   3.403  1.431        0     0     n   0.36       9      1.00     1.00   +0.000     0     nan
   80000    -6.70       42   9.21    0.417   1.888  0.858  0.156   3.030  1.426        0     0     n   0.53      23      1.00     1.00   +0.000     0     nan
  100000    -6.83       42   8.48    0.432   1.888  0.798  0.127   3.190  1.416        0     0     n   0.40      13      1.00     1.00   +0.000     0     nan
  120000    -6.88       42   8.09    0.378   1.097  0.828  0.339   3.387  1.451        0     0     n   0.86      23      1.00     1.00   +0.000     0     nan
  140000    -6.92       46   8.99    0.427   1.743  0.848  0.163   3.636  1.436        0     0     n   0.68      27      1.00     1.00   +0.000     0     nan
  160000    -7.11       38   8.03    0.427   1.931  0.830  0.088   3.461  1.441        0     0     n   1.04      27      1.00     1.00   +0.000     0     nan
  180000    -7.11       38   8.78    0.369   0.944  0.830  0.091   3.651  1.458        0     0     n   1.17      43      1.00     1.00   +0.000     0     nan
  200000    -6.80       46   9.40    0.359   0.944  0.821  0.119   3.734  1.431        0     0     n   0.92      43      1.00     1.00   +0.000     0     nan
  220000    -6.94       46   9.06    0.416   1.743  0.820  0.095   3.565  1.425        0     0     n   1.02      42      1.00     1.00   +0.000     0     nan
  240000    -7.05       46   8.73      nan     nan    nan    nan   3.560  1.447        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  260000    -7.24       46   8.62    0.376   0.990  0.821  0.127   3.755  1.444        0     0     n   1.14      39      1.00     1.00   +0.000     0     nan
  280000    -7.06       46   8.62    0.390   1.131  0.848  0.196   3.875  1.451        0     0     n   0.99      34      1.00     1.00   +0.000     0     nan
  300000    -7.12       46   8.72    0.386   1.427  0.831  0.116   3.668  1.443        0     0     n   0.98      35      1.00     1.00   +0.000     0     nan
  320000    -7.22       46   8.93    0.410   1.635  0.804  0.147   3.337  1.429        0     0     n   0.80      31      1.00     1.00   +0.000     0     nan
  340000    -6.98       71  13.49      nan     nan    nan    nan   3.542  1.455        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  360000    -6.92       59  10.69      nan     nan    nan    nan   3.686  1.448        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  380000    -7.13       59  10.64      nan     nan    nan    nan   3.691  1.451        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  400000    -6.89       59  10.37      nan     nan    nan    nan   3.263  1.427        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  420000    -7.13       59  10.59      nan     nan    nan    nan   3.958  1.443        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  440000    -7.60       59  10.87      nan     nan    nan    nan   3.932  1.457        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  460000    -7.17       59  11.18      nan     nan    nan    nan   3.199  1.418        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  480000    -7.03       59  10.27      nan     nan    nan    nan   3.669  1.425        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  500000    -7.11       59  10.55      nan     nan    nan    nan   3.839  1.462        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  520000    -7.12       64  11.30      nan     nan    nan    nan   3.316  1.434        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  540000    -7.10       64  11.85      nan     nan    nan    nan   3.746  1.435        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  560000    -7.38       64  12.11      nan     nan    nan    nan   3.629  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  580000    -7.12       64  12.18      nan     nan    nan    nan   3.359  1.432        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
  600000    -7.14       86  15.18      nan     nan    nan    nan   3.733  1.424        0     0     n    nan       0      1.00     1.00   +0.000     0     nan
