MIXTURE 2-D: 0 short (2 tails) + 160 long (4 tails) + 2159 water, L=65.0, packing fraction 0.55, kT=0.45, start=state:/home/rbao/quorum-thermolife/projects/vivarium/docs/states_protected/pocket_sd45004_s0900000.npz
  chi RAW      HH +0.20  HT -0.25  TT +0.70  HW +0.75  TW +0.00  WW +0.50
  chi EFFECTIVE (solvent-averaged, this is what the beads feel): HH -0.800  HT -0.500  TT +1.200   [negative = repulsive]
enrichment = (short fraction of OUTER leaflet) - (short fraction of INNER leaflet); 0 = no partitioning
    step    E/lip  largest  R_mid  shellCV  hollow    mix    seg  burial   core  lumen_c  nenc  perc  lumen  lumenW  shortOUT  shortIN   enrichment  nves  lumH2O
       0    -6.61      123  18.33      nan     nan    nan    nan   3.695  1.410      122     1     n    nan       0      1.00     1.00   +0.000     0     nan
   20000    -6.54      123  17.97      nan     nan    nan    nan   3.268  1.411       82     1     n    nan       0      1.00     1.00   +0.000     0     nan
   40000    -6.67      123  18.36      nan     nan    nan    nan   3.561  1.417       96     1     n    nan       0      1.00     1.00   +0.000     0     nan
   60000    -6.76      123  18.72      nan     nan    nan    nan   3.679  1.410      126     1     n    nan       0      1.00     1.00   +0.000     0     nan
   80000    -6.65      149  22.36      nan     nan    nan    nan   3.779  1.416      142     1     n    nan       0      1.00     1.00   +0.000     0     nan
  100000    -6.73      149  20.49      nan     nan    nan    nan   3.477  1.415      115     1     n    nan       0      1.00     1.00   +0.000     0     nan
  120000    -6.54      149  19.36      nan     nan    nan    nan   3.555  1.413       83     1     n    nan       0      1.00     1.00   +0.000     0     nan
  140000    -6.67      124  18.55      nan     nan    nan    nan   3.734  1.422      104     1     n    nan       0      1.00     1.00   +0.000     0     nan
  160000    -6.79      149  20.29      nan     nan    nan    nan   3.674  1.428       99     1     n    nan       0      1.00     1.00   +0.000     0     nan
  180000    -6.96      149  21.19      nan     nan    nan    nan   3.745  1.427       94     1     n    nan       0      1.00     1.00   +0.000     0     nan
  200000    -6.69      149  24.69      nan     nan    nan    nan   3.690  1.425      117     1     n    nan       0      1.00     1.00   +0.000     0     nan
