(00:25:55) INFO: Current date is 2026-08-11
(00:25:55) Computing main repo mapping: 
(00:25:55) Loading: 
(00:25:55) Loading: 0 packages loaded
(00:25:55) Analyzing: target //projects/vivarium:_vesicle_calib (0 packages loaded, 0 targets configured)
(00:25:55) Analyzing: target //projects/vivarium:_vesicle_calib (0 packages loaded, 0 targets configured)

(00:25:55) INFO: Analyzed target //projects/vivarium:_vesicle_calib (0 packages loaded, 0 targets configured).
(00:25:55) INFO: Found 1 target...
Target //projects/vivarium:_vesicle_calib up-to-date:
  bazel-bin/projects/vivarium/_vesicle_calib
(00:25:55) INFO: Elapsed time: 0.035s, Critical Path: 0.00s
(00:25:55) INFO: 1 process: 1 internal.
(00:25:55) INFO: Build completed successfully, 1 total action
(00:25:55) INFO: Running command line: bazel-bin/projects/vivarium/_vesicle_calib 6000 6,7.5,9
 R_out  R/d n_out n_in out:in     L      N   step bil_frac paired  flat  asph lumen   <r>  sd_r     T
   6.0  1.2   274    7   39.1  18.0  17496      0    0.171  0.196 0.975  1.00   131  4.19  0.23  1.00
   6.0  1.2   274    7   39.1  18.0  17496   1500    0.160  0.367 0.423  0.59     1  5.27  0.99  1.02
   6.0  1.2   274    7   39.1  18.0  17496   3000    0.167  0.541 0.302  0.57     2  5.29  1.10  1.02
   6.0  1.2   274    7   39.1  18.0  17496   4500    0.242  0.598 0.381  0.39     0  5.27  1.17  1.02
   6.0  1.2   274    7   39.1  18.0  17496   6000    0.238  0.676 0.331  0.31     5  5.39  1.33  1.01
   7.5  1.5   428   47    9.1  21.0  27783      0    0.541  0.640 0.901  1.00   333  5.58  0.43  1.00
   7.5  1.5   428   47    9.1  21.0  27783   1500    0.280  0.528 0.522  0.84   615  6.50  0.74  1.02
   7.5  1.5   428   47    9.1  21.0  27783   3000    0.194  0.459 0.457  0.81   677  6.66  0.79  1.01
   7.5  1.5   428   47    9.1  21.0  27783   4500    0.213  0.453 0.507  0.70   664  6.66  0.84  1.01
   7.5  1.5   428   47    9.1  21.0  27783   6000    0.179  0.411 0.480  0.69    19  6.63  0.86  1.02
   9.0  1.8   616  121    5.1  24.7  45138      0    0.878  0.878 1.000  1.00   537  6.99  0.54  1.00
   9.0  1.8   616  121    5.1  24.7  45138   1500    0.320  0.701 0.464  0.84    58  7.72  0.89  1.01
   9.0  1.8   616  121    5.1  24.7  45138   3000    0.307  0.756 0.418  0.87    52  7.94  0.95  1.01
