label	t	repel	n_lip	splay	spanning	packing	align	head_enrich	bond_mean	ok	stage3
control-fixed-kT	20000	48.0	44	0.7859	0.682	0.9212	0.0771	1.455	1.0266	True	False
control-fixed-kT	40000	48.0	44	0.7147	0.682	0.9231	0.0996	1.364	1.0261	True	False
r24-control	30000	44	0.3670	0.727	0.8068	0.3585	1.364	1.0182	True	False
r24-control	60000	44	0.3519	0.682	0.8175	0.2773	1.448	1.0169	True	False
margin-only	30000	52	0.4792	0.636	0.7966	0.2207	1.769	1.0140	True	False
margin-only	60000	52	0.3758	0.636	0.7979	0.2482	1.667	1.0129	True	False
margin+anneal	30000	52	0.5262	0.636	0.8315	0.1384	1.615	1.0133	True	False
smallbox	20000	5.0	0.5399	0.900	0.7872	0.2516	1.600	1.0283	True	False
margin+anneal	60000	52	0.5373	0.682	0.7867	0.2047	1.833	1.0160	True	False
smallbox	60000	5.0	0.5402	0.900	0.7871	0.2509	1.600	1.0283	True	False
smallbox	20000	6.5	0.5796	0.846	0.8221	0.0774	1.105	1.0233	True	False
smallbox	60000	6.5	0.5777	0.846	0.8221	0.0777	1.105	1.0233	True	False
smallbox	20000	8.0	0.4187	0.750	0.8398	0.2422	1.571	1.0189	True	False
smallbox	60000	8.0	0.4651	0.750	0.8360	0.0837	1.429	1.0160	True	False
